"battery_level","version_name","device_id","timestamp"
0.76,"1.90.0",1030,2018-07-19 20:55:08
0.77,"1.90.0",1030,2018-07-19 20:52:38
0.54,"1.90.0",10077,2018-07-24 17:50:06
0.89,"1.90.0",4045,2018-07-25 20:38:58
0.46,"1.90.0",4045,2018-07-25 22:36:37
0.63,"1.90.0",8444,2018-07-28 06:43:45
0.64,"1.90.0",8444,2018-07-28 06:41:45
0.84,"1.90.0",4045,2018-07-27 10:31:18
0.54,"1.87.0",10694,2018-07-29 13:54:48
0.53,"1.87.0",10694,2018-07-29 13:57:49
0.52,"1.87.0",10694,2018-07-29 14:03:47
0.51,"1.87.0",10694,2018-07-29 14:07:12
0.25,"1.90.0",8444,2018-07-31 11:36:11
0.26,"1.90.0",8444,2018-07-31 11:35:41
0.27,"1.90.0",8444,2018-07-31 11:35:11
0.28,"1.90.0",8444,2018-07-31 11:34:40
0.29,"1.90.0",8444,2018-07-31 11:34:10
0.30,"1.90.0",8444,2018-07-31 11:33:40
0.31,"1.90.0",8444,2018-07-31 11:33:10
0.67,"1.91.2",12853,2018-08-13 10:48:00
0.66,"1.91.2",12853,2018-08-13 10:48:30
0.65,"1.91.2",12853,2018-08-13 10:49:00
0.64,"1.91.2",12853,2018-08-13 10:49:30
0.63,"1.91.2",12853,2018-08-13 10:50:00
0.62,"1.91.2",12853,2018-08-13 10:50:31
0.61,"1.91.2",12853,2018-08-13 10:51:01
0.60,"1.91.2",12853,2018-08-13 10:51:31
0.59,"1.91.2",12853,2018-08-13 10:52:01
0.58,"1.91.2",12853,2018-08-13 10:52:31
0.57,"1.91.2",12853,2018-08-13 10:53:01
0.56,"1.91.2",12853,2018-08-13 10:53:31
0.55,"1.91.2",12853,2018-08-13 10:54:01
0.54,"1.91.2",12853,2018-08-13 10:54:31
0.60,"1.91.2",12853,2018-08-21 08:34:39
0.59,"1.91.2",12853,2018-08-21 08:36:24
0.58,"1.91.2",12853,2018-08-21 08:36:54
0.57,"1.91.2",12853,2018-08-21 08:37:24
0.95,"1.91.2",14702,2018-08-22 01:29:33
0.97,"1.91.2",14702,2018-08-24 01:52:55
0.96,"1.91.2",14702,2018-08-24 01:54:05
0.95,"1.91.2",14702,2018-08-24 01:55:15
0.94,"1.91.2",14702,2018-08-24 01:56:25
0.76,"1.91.2",12853,2018-08-26 14:38:36
0.77,"1.91.2",12853,2018-08-26 14:37:21
0.78,"1.91.2",12853,2018-08-26 14:36:51
0.79,"1.91.2",12853,2018-08-26 14:36:21
0.80,"1.91.2",12853,2018-08-26 14:35:51
0.81,"1.91.2",12853,2018-08-26 14:35:20
0.82,"1.91.2",12853,2018-08-26 14:34:50
0.83,"1.91.2",12853,2018-08-26 14:34:20
0.84,"1.91.2",12853,2018-08-26 14:33:50
0.85,"1.91.2",12853,2018-08-26 14:33:20
0.86,"1.91.2",12853,2018-08-26 14:32:50
0.87,"1.91.2",12853,2018-08-26 14:32:20
0.88,"1.91.2",12853,2018-08-26 14:31:50
0.89,"1.91.2",12853,2018-08-26 14:31:20
0.90,"1.91.2",12853,2018-08-26 14:30:50
0.93,"1.91.2",14702,2018-08-30 00:09:44
0.92,"1.91.2",14702,2018-08-30 00:10:55
0.91,"1.91.2",14702,2018-08-30 00:12:04
0.91,"1.91.2",14702,2018-08-30 00:12:24
0.90,"1.91.2",14702,2018-08-30 00:13:14
0.88,"1.91.2",14702,2018-08-30 00:15:34
0.87,"1.91.2",14702,2018-08-30 00:16:44
0.86,"1.91.2",14702,2018-08-30 00:17:54
0.85,"1.91.2",14702,2018-08-30 00:19:04
0.84,"1.91.2",14702,2018-08-30 00:20:14
0.83,"1.91.2",14702,2018-08-30 00:21:24
0.67,"1.91.2",12853,2018-09-02 02:57:32
0.68,"1.91.2",12853,2018-09-02 02:56:47
0.69,"1.91.2",12853,2018-09-02 02:56:02
0.70,"1.91.2",12853,2018-09-02 02:55:17
0.71,"1.91.2",12853,2018-09-02 02:54:32
0.72,"1.91.2",12853,2018-09-02 02:54:02
0.73,"1.91.2",12853,2018-09-02 02:53:32
0.74,"1.91.2",12853,2018-09-02 02:53:02
0.75,"1.91.2",12853,2018-09-02 02:52:32
0.76,"1.91.2",12853,2018-09-02 02:52:02
0.82,"1.91.2",12853,2018-09-02 02:44:26
0.83,"1.91.2",12853,2018-09-02 02:43:56
0.84,"1.91.2",12853,2018-09-02 02:43:26
0.85,"1.91.2",12853,2018-09-02 02:42:56
0.86,"1.91.2",12853,2018-09-02 02:42:26
0.87,"1.91.2",12853,2018-09-02 02:41:56
0.88,"1.91.2",12853,2018-09-02 02:41:26
0.89,"1.91.2",12853,2018-09-02 02:40:56
0.90,"1.91.2",12853,2018-09-02 02:40:25
0.91,"1.91.2",12853,2018-09-02 02:39:55
0.92,"1.91.2",12853,2018-09-02 02:39:25
