Battery_Used,Version,ElapsedTimestamp
0.01,1.19.0,120
0.19,1.19.0,2585
0.01,1.22.1,8
0.03,1.22.1,206
0.03,1.22.1,1262
0.01,1.22.1,31
0.02,1.22.1,60
0.03,1.22.1,300
0.08,1.22.1,1720
0.04,1.22.1,1466
0.05,1.22.1,611
0.06,1.22.1,589
0.01,1.21.0,7815
0.01,1.21.0,207
0.02,1.21.0,317
0.01,1.21.0,241
0.01,1.21.0,184
0.04,1.21.0,860
0.02,1.21.0,995
0.01,1.21.0,643
0.01,1.21.0,246
0.02,1.21.0,430
0.02,1.21.0,790
0.37,1.21.0,480
0.08,1.21.0,725
0.43,1.21.0,27134
0.23,1.21.0,2982
0.02,1.21.0,180
0.02,1.21.0,66
0.56,1.20.3,3278
0.22,1.20.3,1663
0.24,1.20.3,720
0.2,1.20.3,602
0.02,1.20.3,90
0.28,1.20.3,1558
0.03,1.20.3,270
0.31,1.20.3,15764
0.24,1.20.3,1280
0.68,1.20.3,2201
0.02,1.20.3,76
0.21,1.20.3,659
0.1,1.20.3,1324
0.26,1.20.3,1202
0.05,1.20.3,432
0.14,1.20.3,650
0.15,1.20.3,1011
0.17,1.20.3,1711
0.06,1.20.3,391
0.22,1.20.3,1640
0.06,1.20.3,181
0.01,1.20.3,39
0.14,1.20.3,838
0.08,1.20.3,458
0.29,1.20.3,872
0.35,1.20.3,1053
0.36,1.20.3,1089
0.33,1.20.3,1474
0.49,1.20.3,2422
0.05,1.20.3,953
0.02,1.20.3,60
0.16,1.20.3,2305
0.15,1.20.3,1084
0.15,1.20.3,662
0.12,1.20.3,1789
0.06,1.20.3,613
0.13,1.20.3,992
0.16,1.20.3,1030
0.01,1.20.3,30
0.02,1.20.3,349
0.01,1.20.3,29
0.05,1.20.3,933
0.09,1.20.3,1774
0.05,1.20.3,961
0.19,1.20.3,5582
0.14,1.20.3,2645
0.12,1.20.3,2134
0.22,1.20.3,4148
0.07,1.20.3,967
0.13,1.38.2,43360
0.42,1.38.2,4898
0.22,1.38.2,2028
0.11,1.38.2,860
0.34,1.38.2,3266
0.04,1.38.2,373
0.19,1.38.2,3332
0.02,1.38.2,110
0.26,1.38.2,3815
0.01,1.38.2,240
0.02,1.38.2,14884
0.04,1.38.2,12798
0.03,1.38.2,2386
0.04,1.38.2,19111
0.03,1.38.2,1175
0.17,1.38.2,20895
0.01,1.38.2,67
0.01,1.38.2,1853
0.03,1.38.2,210
0.08,1.38.2,829
0.04,1.38.2,283
0.09,1.29.0,871
0.46,1.29.0,3422
0.03,1.29.0,226
0.01,1.29.0,72
0.79,1.29.0,2643
0.85,1.29.0,3761
0.15,1.29.0,407
0.09,1.29.0,259
0.03,1.29.0,84
0.26,1.29.0,556
0.1,1.29.0,348
0.15,1.29.0,348
0.02,1.29.0,1046
0.89,1.29.0,2128
0.02,1.29.0,93
0.32,1.29.0,476
0.01,1.29.0,44
0.01,1.29.0,26
0.07,1.29.0,371
0.21,1.29.0,530
0.06,1.29.0,234
0.05,1.29.0,141
0.18,1.29.0,668
0.26,1.29.0,2502
0.04,1.29.0,33
0.07,1.29.0,365
0.01,1.29.0,81
0.02,1.29.0,9310
0.02,1.29.0,60
0.01,1.29.0,30
0.04,1.29.0,120
0.01,1.29.0,2407
0.34,1.29.0,1023
0.17,1.29.0,632
0.16,1.29.0,461
0.16,1.29.0,1895
0.3,1.29.0,5225
0.19,1.29.0,2587
0.14,1.29.0,1884
0.05,1.29.0,1589
0.03,1.29.0,420
0.01,1.29.0,101
0.02,1.29.0,42
0.59,1.29.0,1701
0.06,1.29.0,421
0.1,1.29.0,485
0.01,1.29.0,62
0.17,1.29.0,82204
0.01,1.29.0,60
0.04,1.29.0,284
0.13,1.29.0,790
0.31,1.29.0,1242
0.27,1.29.0,1748
0.13,1.29.0,713
0.01,1.29.0,30
0.01,1.29.0,90
0.13,1.29.0,1590
0.12,1.29.0,1200
0.45,1.29.0,3756
0.33,1.29.0,2713
0.09,1.29.0,963
0.2,1.29.0,1693
0.02,1.29.0,121
0.19,1.29.0,1447
0.03,1.29.0,450
0.19,1.29.0,1079
0.26,1.29.0,847
0.01,1.29.0,34
0.02,1.29.0,646
0.02,1.29.0,318
0.01,1.29.0,301
0.01,1.29.0,19
0.02,1.29.0,566
0.03,1.29.0,960
0.04,1.29.0,929
0.01,1.29.0,45
0.01,1.29.0,30
0.01,1.29.0,212
0.02,1.29.0,110
0.06,1.29.0,529
0.04,1.29.0,267
0.03,1.29.0,221
0.21,1.29.0,1470
0.12,1.29.0,811
0.16,1.29.0,1075
0.17,1.29.0,1140
0.36,1.29.0,2550
0.04,1.29.0,320
0.27,1.29.0,1729
0.16,1.29.0,174
0.05,1.29.0,369
0.04,1.29.0,2573
0.03,1.29.0,328
0.1,1.29.0,686
0.08,1.29.0,560
0.2,1.29.0,1300
0.01,1.29.0,82
0.43,1.29.0,11768
0.14,1.29.0,1027
0.37,1.29.0,2669
0.01,1.29.0,150
0.02,1.29.0,115
0.13,1.29.0,878
0.14,1.29.0,1827
0.06,1.29.0,1625
0.1,1.29.0,970
0.18,1.29.0,1269
0.13,1.29.0,1309
0.02,1.29.0,5042
0.02,1.29.0,499
0.01,1.29.0,110
0.31,1.29.0,2170
0.12,1.29.0,2220
0.09,1.29.0,1308
0.06,1.29.0,851
0.11,1.29.0,1445
0.35,1.29.0,9129
0.09,1.29.0,1785
0.16,1.29.0,2872
0.03,1.29.0,738
0.02,1.29.0,283
0.01,1.29.0,157
0.32,1.29.0,4037
0.02,1.29.0,231
0.05,1.29.0,420
0.03,1.29.0,412
0.06,1.29.0,490
0.05,1.29.0,427
0.06,1.29.0,627
0.06,1.29.0,840
0.04,1.29.0,549
0.01,1.29.0,210
0.03,1.29.0,492
0.02,1.29.0,147
0.04,1.29.0,521
0.05,1.29.0,630
0.02,1.29.0,140
0.05,1.29.0,560
0.1,1.29.0,739
0.05,1.29.0,630
0.05,1.29.0,548
0.03,1.29.0,490
0.07,1.29.0,770
0.02,1.29.0,140
0.05,1.29.0,5037
0.05,1.29.0,350
0.04,1.29.0,350
0.02,1.29.0,140
0.06,1.29.0,515
0.01,1.29.0,30
0.04,1.29.0,350
0.05,1.29.0,490
0.02,1.29.0,213
0.01,1.29.0,71
0.02,1.29.0,245
0.14,1.29.0,1046
0.03,1.29.0,171
0.01,1.29.0,102
0.04,1.29.0,282
0.02,1.29.0,140
0.04,1.29.0,263
0.07,1.29.0,464
0.02,1.29.0,169
0.14,1.29.0,1125
0.02,1.28.0,59
0.14,1.28.0,415
0.03,1.28.0,99
0.53,1.28.0,1594
